Unnamed: 0,total_voxels,l_e_f_t,r_i_g_h_t
s0000,90851,42124,48727
s0001,150397,75642,74755
s0004,195055,98223,96832
s0006,212283,104794,107489
s0009,89742,46734,43008
s0010,196396,98013,98383
s0011,221786,110139,111647
s0012,204872,101642,103230
s0013,219945,110141,109804
s0014,188483,94933,93550
s0015,233673,117372,116301
s0016,244555,122331,122224
s0019,230383,113991,116392
s0022,257739,128240,129499
s0024,273537,135840,137697
s0028,155537,78314,77223
s0029,249518,122807,126711
s0030,225810,113294,112516
s0031,250344,123720,126624
s0034,206366,104611,101755
s0038,189638,94874,94764
s0040,187106,92942,94164
s0042,241133,121188,119945
s0045,220965,112222,108743
s0048,994,994,0
s0049,236916,118910,118006
s0050,200854,100448,100406
s0052,239652,120382,119270
s0053,302839,150633,152206
s0054,176504,87835,88669
s0058,228881,110033,118848
s0059,207447,104774,102673
s0062,232129,116285,115844
s0065,250887,125464,125423
s0066,207314,103801,103513
s0068,90772,46931,43841
s0069,243,3,240
s0071,29876,12725,17151
s0072,198771,99102,99669
s0073,267855,133863,133992
s0074,225252,112730,112522
s0075,257608,133674,123934
s0076,252512,127414,125098
s0077,222197,110615,111582
s0078,219579,108751,110828
s0082,206882,102616,104266
s0086,253307,126940,126367
s0089,182448,90182,92266
s0090,176286,90071,86215
s0091,281286,140217,141069
s0092,187739,93640,94099
s0095,300170,148670,151500
s0096,247587,124081,123506
s0098,213471,107569,105902
s0104,174877,86749,88128
s0105,4266,3706,560
s0106,1329,440,889
s0107,225171,114721,110450
s0108,248948,126329,122619
s0109,210464,104201,106263
s0117,247105,122632,124473
s0119,244295,121754,122541
s0120,252728,127321,125407
s0122,45295,45295,0
s0124,268480,133732,134748
s0131,221011,108226,112785
s0133,272980,135433,137547
s0137,187700,93339,94361
s0139,216017,110163,105854
s0141,205391,104352,101039
s0143,261133,133160,127973
s0145,294046,145815,148231
s0147,249393,124134,125259
s0150,213773,105444,108329
s0151,265711,133513,132198
s0153,222166,111372,110794
s0157,189573,94785,94788
s0158,233660,116458,117202
s0161,268336,135364,132972
s0163,259673,130968,128705
s0166,201934,99965,101969
s0168,173956,87849,86107
s0171,201576,102018,99558
s0174,139226,70060,69166
s0178,250632,125607,125025
s0179,153632,76224,77408
s0182,240054,119507,120547
s0183,294201,149420,144781
s0188,176835,88681,88154
s0189,237345,119220,118125
s0190,165642,84177,81465
s0191,40383,16075,24308
s0192,173529,84828,88701
s0193,204991,102444,102547
s0194,183500,92238,91262
s0196,157192,80755,76437
s0201,152292,67300,84992
s0204,230015,115592,114423
s0206,180183,90563,89620
s0209,8459,3821,4638
s0210,240087,121181,118906
